Method,Accuracy,Precision_Attack,Recall_Attack,F1_Attack,ROC_AUC
Centralized (Weighted),0.8938833333333334,0.5828563547341563,0.9637400228050171,0.7263976623265008,0.9870130557943907
FL FedAvg (Weighted),0.9644166666666667,0.973725546194488,0.7775370581527936,0.8646421099346986,0.9817247779871712
"FL Robust TrimmedMean (TRIM=0.1, Weighted)",0.8342166666666667,0.46707323896380015,0.9518814139110604,0.626656157339639,0.9587120206656278
